Κωδικός,Όνομα,Κατηγορία,Διάρκεια (λεπτά),Κόστος (€),Χώρος,Κύριος Ιατρός,Βοηθός 1,Βοηθός 2
Β316545,ΕΚΑΣΤΗ ΠΡΟΣΔΙΟΡΙΣΤΙΚΗ ΙΣΤΟΧΗΜΕΙΑ Ή ΚΥΤΤΑΡΟΧΗΜΕΙΑ ΓΙΑ ΤΗΝ ΤΥΠΟΠΟΙΗΣΗ ΕΝΖΥΜΙΚΩΝ ΣΥΣΤΑΤΙΚΩΝ,θεραπευτική,71,568,αίθουσα επέμβασης,Jason Nelson,Jose Spencer,Andrew Choi
Β316549,ΣΥΜΒΟΥΛΕΥΤΙΚΗ ΓΝΩΜΗ ΜΕ ΣΥΝΤΑΞΗ ΠΟΡΙΣΜΑΤΟΣ ΕΠΙ ΠΑΡΑΠΕΜΠΟΜΕΝΩΝ ΙΣΤΟΛΟΓΙΚΩΝ ΠΛΑΚΙΔΙΩΝ ΠΟΥ ΠΑΡΑΣΚΕΥΑΣΘΗΚΑΝ ΕΚΤΟΣ ΕΡΓΑΣΤΗΡΙΟΥ,θεραπευτική,73,399,αίθουσα επέμβασης,Matthew Bennett,Nancy Burke,John Gonzales
Β316553,ΣΥΜΒΟΥΛΕΥΤΙΚΗ ΓΝΩΜΗ ΜΕ ΣΥΝΤΑΞΗ ΠΟΡΙΣΜΑΤΟΣ ΕΠΙ ΠΑΡΑΠΕΜΠΟΜΕΝΟΥ ΥΛΙΚΟΥ ΟΠΟΥ ΑΠΑΙΤΕΙΤΑΙ Η ΠΑΡΑΣΚΕΥΗ ΙΣΤΟΛΟΓΙΚΩΝ ΠΛΑΚΙΔΙΩΝ Ή/ΚΑΙ ΕΦΑΡΜΟΓΗ ΕΙΔΙΚΩΝ ΧΡΩΣΕΩΝ ΚΑΙ ΑΝΟΣΟΙΣΤΟΧΗΜΕΙΑΣ (ΕΠΙΠΛΕΟΝ ΚΩΔΙΚΟΙ),θεραπευτική,59,514,αίθουσα επέμβασης,George Nichols,George Foster,Jose Spencer
Β316557,ΛΕΠΤΟΜΕΡΗΣ ΣΥΜΒΟΥΛΕΥΤΙΚΗ ΓΝΩΜΗ ΜΕ ΣΥΝΤΑΞΗ ΠΟΡΙΣΜΑΤΟΣ ΕΠΙ ΠΑΡΑΠΕΜΠΟΜΕΝΟΥ ΥΛΙΚΟΥ ΠΟΥ ΑΠΑΙΤΕΙ ΑΝΑΣΚΟΠΗΣΗ ΥΛΙΚΩΝ ΙΑΤΡΙΚΩΝ ΑΡΧΕΙΩΝ,θεραπευτική,72,735,αίθουσα επέμβασης,Clayton Rodriguez,Kelsey Barrera,Troy Horton
Ι201439,ΟΙΣΟΦΑΓΙΚΗ ΔΙΑΣΩΛΗΝΩΣΗ ΚΑΙ ΣΥΛΛΟΓΗ ΕΚΠΛΥΜΑΤΩΝ ΓΙΑ ΚΥΤΤΑΡΟΛΟΓΙΑ,θεραπευτική,89,804,αίθουσα επέμβασης,Kelly Grimes,Lindsey Gardner,Michael Valencia
Ι201479,ΜΑΝΟΜΕΤΡΙΑ ΣΤΟΜΑΧΟΥ,διαγνωστική,60,121,αίθουσα επέμβασης,Kathy Jones,Andrew Choi,Shannon Walker
Ι201483,ΜΑΝΟΜΕΤΡΙΑ ΔΩΔΕΚΑΔΑΚΤΥΛΟΥ,διαγνωστική,58,173,αίθουσα επέμβασης,Cheryl Sanchez,Jason Nelson,Ralph Henry
Ι201499,ΔΟΚΙΜΑΣΙΑ BERNSTEIN ΜΕ ΕΓΧΥΣΗ ΟΞΕΟΣ ΣΤΟΝ ΟΙΣΟΦΑΓΟ,διαγνωστική,50,238,αίθουσα επέμβασης,Steven Johns,Hannah Cruz,Michael Garcia
Ι201509,24ΩΡΗ ΦΟΡΗΤΗ ΠΕΧΑΜΕΤΡΙΑ ΟΙΣΟΦΑΓΟΥ,διαγνωστική,23,79,αίθουσα επέμβασης,Tracy Allen,Anthony Rhodes,Barbara Baird
Ι201515,24ΩΡΗ ΑΝΤΙΣΤΑΣΙΟΜΕΤΡΙΑ (ΕΜΠΕΔΗΣΗ) ΟΙΣΟΦΑΓΟΥ,θεραπευτική,33,869,αίθουσα επέμβασης,Lauren Daniels,Jennifer Cross,Jennifer Washington
Ι201519,ΜΕΛΕΤΗ ΠΡΟΚΛΗΣΗΣ ΔΙΑΤΑΣΗΣ ΤΟΥ ΟΙΣΟΦΑΓΟΥ ΜΕ ΑΕΡΟΘΑΛΑΜΟ,θεραπευτική,30,851,αίθουσα επέμβασης,Jason Nelson,Lori Taylor,Michael Cook
Ι201543,"ΔΟΚΙΜΑΣΙΑ ΓΑΣΤΡΙΚΗΣ ΑΝΑΛΥΣΗΣ ΜΕ ΔΙΕΓΕΡΣΗ ΓΑΣΤΡΙΚΗΣ ΕΚΚΡΙΣΗΣ (Π.Χ. ΙΣΤΑΜΙΝΗ, ΙΝΣΟΥΛΙΝΗ, ΠΕΝΤΑΓΑΣΤΡΙΝΗ, ΑΣΒΕΣΤΙΟ ΚΑΙ ΣΕΚΡΕΤΙΝΗ)",διαγνωστική,51,99,αίθουσα επέμβασης,Evan Henry,Lisa Kane,Cheryl Sanchez
Ι201549,"ΚΑΘΕΤΗΡΙΑΣΜΟΣ ΣΤΟΜΑΧΟΥ, ΠΛΥΣΕΙΣ ΚΑΙ ΠΡΟΕΤΟΙΜΑΣΙΑ ΠΛΑΚΩΝ ΓΙΑ ΚΥΤΤΑΡΟΛΟΓΙΚΗ ΕΞΕΤΑΣΗ",διαγνωστική,52,307,αίθουσα επέμβασης,Thomas Norris,Andrew Choi,Elizabeth Pace
Ι201569,ΔΟΚΙΜΑΣΙΑ ΕΚΠΝΟΗΣ ΥΔΡΟΓΟΝΟΥ ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΑΝΕΠΑΡΚΕΙΑΣ ΛΑΚΤΑΣΗΣ Η ΥΠΕΡΑΝΑΠΤΥΞΗ ΒΑΚΤΗΡΙΔΙΩΝ,διαγνωστική,38,79,αίθουσα επέμβασης,Evan Henry,Christina Miles,George Nichols
Ι201649,"ΚΑΘΕΤΗΡΙΑΣΜΟΣ ΣΤΟΜΑΧΟΥ ΚΑΙ ΑΝΑΡΡΟΦΗΣΗ Ή ΠΛΥΣΗ ΜΕ ΘΕΡΑΠΕΥΤΙΚΟ ΣΚΟΠΟ (ΠΧ, ΓΙΑ ΚΑΤΑΠΟΣΗ ΔΗΛΗΤΗΡΙΟΥ)",θεραπευτική,79,394,αίθουσα επέμβασης,Victor Williams,Christina Miles,Jared Allen
Ι201679,ΕΛΕΓΧΟΣ ΑΙΣΘΗΤΙΚΟΤΗΤΑΣ ΟΡΘΟΥ ΚΑΙ ΔΟΚΙΜΑΣΙΑ ΕΝΔΟΤΙΚΟΤΗΤΑΣ (ΑΠΑΝΤΗΣΗ ΣΕ ΔΙΑΒΑΘΜΙΣΜΕΝΗ ΔΙΑΤΑΣΗ ΑΕΡΟΘΑΛΑΜΟΥ),διαγνωστική,36,85,αίθουσα επέμβασης,Steven Johns,Brandi Greer,Lauren Daniels
Ι201683,ΟΡΘΟΠΡΩΚΤΙΚΗ ΜΑΝΟΜΕΤΡΙΑ,διαγνωστική,29,119,αίθουσα επέμβασης,Evan Henry,Ashley Long,Lori Taylor
Ι201703,ΔΙΑΔΕΡΜΙΚΗ ΗΛΕΚΤΡΟΓΑΣΤΡΟΓΡΑΦΙΑ,θεραπευτική,34,629,αίθουσα επέμβασης,Brian Dennis,Dustin Moore,Michael Turner
Ι203579,"ΤΟΠΟΘΕΤΗΣΗ ΦΑΚΩΝ ΕΠΑΦΗΣ ΓΙΑ ΑΝΤΙΜΕΤΩΠΙΣΗ ΝΟΣΟΥ, ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΠΡΟΜΗΘΕΙΑΣ ΤΟΥ ΦΑΚΟΥ",θεραπευτική,41,818,αίθουσα επέμβασης,Brian Dennis,Troy Grant,Calvin Rowe
Ι203601,"ΕΞΕΤΑΣΗ ΟΠΤΙΚΟΥ ΠΕΔΙΟΥ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΟΤΕΡΟΠΛΕΥΡΗ, ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ. ΠΕΡΙΟΡΙΣΜΕΝΗ ΕΞΕΤΑΣΗ",διαγνωστική,48,305,αίθουσα επέμβασης,Matthew Bennett,Lauren Daniels,Michael Smith
Ι203603,"ΕΞΕΤΑΣΗ ΟΠΤΙΚΟΥ ΠΕΔΙΟΥ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΟΤΕΡΟΠΛΕΥΡΗ, ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ. ΜΕΣΑΙΑ ΕΞΕΤΑΣΗ",διαγνωστική,35,350,αίθουσα επέμβασης,Calvin Rowe,Jennifer Washington,Jerry Garcia
Ι203605,"ΕΞΕΤΑΣΗ ΟΠΤΙΚΟΥ ΠΕΔΙΟΥ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΟΤΕΡΟΠΛΕΥΡΗ, ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ. ΕΚΤΕΤΑΜΕΝΗ ΕΚΘΕΣΗ",διαγνωστική,38,284,αίθουσα επέμβασης,Andrew Choi,Kelsey Barrera,Clayton Rodriguez
Ι203639,ΣΕΙΡΙΑΚΗ ΤΟΝΟΜΕΤΡΙΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ),διαγνωστική,28,334,αίθουσα επέμβασης,Alec Rojas,George Nichols,Melissa Murphy
Ι203699,ΤΟΝΟΓΡΑΦΙΑ ΜΕ ΠΡΟΚΛΗΣΗ ΥΔΑΤΟΣ,διαγνωστική,56,71,αίθουσα επέμβασης,Troy Grant,George Foster,John Molina
