Medicine_Name,Active_Substance
Kalydeco,ivacaftor
Rezolsta,darunavir;cobicistat
Bexsero,outer membrane vesicles from neisseria meningitidis group b (strain nz 98/254);recombinant Neisseria meningitidis group B fHbp fusion protein;recombinant Neisseria meningitidis group B NadA protein;recombinant Neisseria meningitidis group B NHBA fusion protein
Enjaymo,sutimlimab
Saxenda,liraglutide
Trepulmix,treprostinil sodium
Anoro Ellipta (previously Anoro),umeclidinium bromide;vilanterol trifenatate
Sugammadex Piramal,sugammadex sodium
Emevet,Maropitant citrate monohydrate
Eklira Genuair,aclidinium bromide
Duaklir Genuair,aclidinium bromide;formoterol fumarate dihydrate
Iqirvo,Elafibranor
Jubereq,denosumab
Xofigo,radium (223Ra) dichloride
Vildagliptin / Metformin hydrochloride Accord,metformin hydrochloride;vildagliptin
Ifinwil,eflornithine hydrochloride monohydrate
Xoterna Breezhaler,indacaterol;glycopyrronium bromide
Ultibro Breezhaler,indacaterol;glycopyrronium bromide
Armisarte (previously Pemetrexed Actavis),pemetrexed diacid monohydrate
Ulunar Breezhaler,glycopyrronium bromide;indacaterol maleate
Cresemba,isavuconazole
Amlodipine / Valsartan Mylan,amlodipine besilate;valsartan
Supemtek Tetra (previously Supemtek),"Influenza A virus subtype H1N1 haemagglutinin, recombinant;Influenza A virus subtype H3N2 haemagglutinin, recombinant;Influenza B virus Victoria lineage haemagglutinin, recombinant;Influenza B virus Yamagata lineage haemagglutinin, recombinant"
Incruse Ellipta (previously Incruse),umeclidinium bromide
Lynozyfic,linvoseltamab
Zyclara,imiquimod
Fampridine Accord,Fampridine
Aldara,imiquimod
Tolura,telmisartan
Cevac Reomune,"avian reovirus, strain S1133, inactivated;avian reovirus, strain 11-12523, inactivated"
Nordimet,methotrexate
Nimvastid,rivastigmine
Ivabradine Zentiva,ivabradine hydrochloride
Sugammadex Mylan,sugammadex sodium
Javlor,vinflunine
Natpar,parathyroid hormone
Pomalidomide Krka,Pomalidomide
Plavix,clopidogrel hydrogen sulfate
Ruxience,rituximab
Fluad,"A/Victoria/4897/2022 (H1N1)pdm09 like strain (A/Victoria/4897/2022, IVR-238);A/Croatia/10136RV/2023 (H3N2)-like strain (A/Croatia/10136RV/2023, X-425A);B/Austria/1359417/2021 like strain (B/Austria/1359417/2021, BVR-26)"
Fluenz,"influenza virus A/Victoria/4897/2022 (H1N1)pdm09 - like strain (A/Norway/31694/2022, MEDI 369815), A A/Croatia/10136RV/2023 (H3N2)-like strain (A/Perth/722/2024, MEDI 392611) B/Austria/1359417/2021 - like strain (B/ Austria/1359417/2021, MEDI 355292)"
Sugammadex Fresenius Kabi,sugammadex sodium
Epoetin Alfa Hexal,epoetin alfa
Binocrit,epoetin alfa
Abseamed,epoetin alfa
Kayfanda,odevixibat sesquihydrate
Filsuvez,"dry extract from birch bark (DER 5-10 : 1), extraction solvent n-heptane 95% (w/w)"
Capecitabine Teva,capecitabine
Xbryk,denosumab
Temozolomide Sun,temozolomide
Evotaz,cobicistat;atazanavir
Ituxredi,rituximab
Filgrastim Hexal,filgrastim
Zarzio,filgrastim
Obgemsa,vibegron
Holoclar,ex vivo expanded autologous human corneal epithelial cells containing stem cells
Stronghold Plus,selamectin;sarolaner
NexGard Combo,eprinomectin;esafoxolaner;praziquantel
Nobilis Multriva IBm+ND+Gm+REOm+EDS,"infectious bronchitis virus, type Massachusetts, strain M41, inactivated ;infectious bronchitis virus, type 793/B, strain 4/91, inactivated;Newcastle disease virus, strain Ulster, inactivated;Infectious bursal disease virus, strain GB02, inactivated;Infectious bursal disease virus, strain 89/03, inactivated;inactivated avian reovirus strain ARV-1;inactivated avian reovirus strain ARV-4;Eggdrop syndrome-1976 virus, strain BC14, inactivated"
Circadin,melatonin
Hyftor,sirolimus
Rilonacept FGK Representative Service GmbH,rilonacept
Orfadin,nitisinone
Neoatricon,dopamine hydrochloride;Dopamine
Cufence,trientine dihydrochloride
Idefirix,imlifidase
Busulfan Fresenius Kabi,busulfan
BroPair Spiromax,salmeterol xinafoate;fluticasone propionate
Emtricitabine/Tenofovir disoproxil Mylan,emtricitabine;tenofovir disoproxil maleate
Vyjuvek,Beremagene geperpavec
Avamys,fluticasone furoate
Tresiba,insulin degludec
Zoonotic Influenza Vaccine Seqirus,A/Astrakhan/3212/2020 (H5N8)-like strain (CBER-RG8A) (clade 2.3.4.4b)
Miglustat Dipharma,miglustat
Foclivia,"influenza virus surface antigens, inactivated: A/Viet Nam/1194/2004 (H5N1)"
Miglustat Gen.Orph,miglustat
Cotellic,cobimetinib hemifumarate
Zessly,infliximab
Grepid,clopidogrel (as besilate)
Memantine Merz,memantine hydrochloride
Yorvipath,palopegteriparatide
Axura,memantine hydrochloride
Colobreathe,Colistimethate sodium
Pazenir,paclitaxel
Zelboraf,vemurafenib
Jetrea,ocriplasmin
Aquipta,atogepant
Pergoveris,follitropin alfa;lutropin alfa
Cinryze,C1 inhibitor (human)
Phelinun,melphalan hydrochloride
TachoSil,human fibrinogen;human thrombin
Lumeblue (previously Methylthioninium chloride Cosmo),methylthioninium chloride
Rivastigmine Actavis,rivastigmine hydrogen tartrate
Biobhyo,"Brachyspira hyodysenteriae, strain AqDys057, inactivated"
Zerbaxa,ceftolozane sulfate;tazobactam sodium
Nyxoid,naloxone hydrochloride dihydrate
Zostavax,"varicella-zoster virus (live, attenuated)"
Rozlytrek,Entrectinib
Vokanamet,canagliflozin;metformin hydrochloride
Apexelsin,paclitaxel
Jyseleca,filgotinib maleate
Pelgraz Paediatric,pegfilgrastim
Beqvez (previously Durveqtix),fidanacogene elaparvovec
Ibrance,Palbociclib
Zeffix,lamivudine
Cholestagel,colesevelam (as hydrochloride)
Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),levodopa;carbidopa;entacapone
Hepizovac,"epizootic haemorrhagic disease virus (EHDV), serotype 8, strain EHDV8 SPA 2022/LCV_03 LCV Cod.:O78"
Prazivetin,praziquantel
Prevestrus vet,finrozole
Nobilis Multriva IBm+ND+EDS,"infectious bronchitis virus, type Massachusetts, strain M41, inactivated ;infectious bronchitis virus, type 793/B, strain 4/91, inactivated;Newcastle disease virus, strain Ulster, inactivated;Eggdrop syndrome-1976 virus, strain BC14, inactivated"
Temozolomide Accord,temozolomide
Rheumocam,meloxicam
NovoRapid,insulin aspart
Xolair,omalizumab
Lacosamide Accord,lacosamide
Pemetrexed medac,pemetrexed
Privigen,human normal immunoglobulin (IVIg)
Ovaleap,follitropin alfa
Kinselby,resminostat mesilate
Cinainu,dry aqueous extract of paullinia cupana seed;dry hydroethanolic extract of theobroma cacao seed;liquid ethanolic extract 30 per cent (W/W) of Allium cepa fresh bulb and Citrus limon fresh fruit
Lacosamide UCB,lacosamide
Ovitrelle,choriogonadotropin alfa
Pedmarqsi,sodium thiosulfate
Komboglyze,metformin hydrochloride;saxagliptin hydrochloride
Teriparatide Ascend,teriparatide
Revestive,teduglutide
Nerlynx,neratinib
Conbriza,bazedoxifene
Pelgraz,pegfilgrastim
Brinavess,vernakalant hydrochloride
Vipdomet,alogliptin benzoate;metformin hydrochloride
Orencia,abatacept
Buprenorphine Neuraxpharm,buprenorphine hydrochloride
Cerdelga,Eliglustat (tartrate)
Deqsiga,human normal immunoglobulin
Riluzole Zentiva,riluzole
Rytelo,imetelstat
Faslodex,fulvestrant
Clopidogrel Krka,clopidogrel (as hydrochloride)
Zyllt,clopidogrel (as hydrogen sulfate)
Clopidogrel Krka d.d. (previously Zopya),clopidogrel (as hydrochloride)
Clopidogrel TAD,clopidogrel (as hydrochloride)
Actelsar HCT,telmisartan;hydrochlorothiazide
Xyrem,sodium oxybate
Olanzapine Teva,olanzapine
Pomalidomide Zentiva,Pomalidomide
Omjjara,Momelotinib dihydrochloride monohydrate
Givlaari,Givosiran
Tacforius,tacrolimus monohydrate
Ongentys,opicapone
Evenity,romosozumab
Vectibix,panitumumab
Daurismo,Glasdegib maleate
Urorec,silodosin
Sitagliptin / Metformin hydrochloride Sun,sitagliptin fumarate;metformin hydrochloride
Posaconazole Accord,posaconazole
Imatinib Accord,imatinib
Arsenic trioxide Mylan,arsenic trioxide
Ketoconazole Esteve (previously Ketoconazole HRA),Ketoconazole
Clopidogrel / Acetylsalicylic acid Viatris (previously Clopidogrel / Acetylsalicylic acid Mylan),acetylsalicylic acid;clopidogrel hydrogen sulfate
Ecansya (previously Capecitabine Krka),capecitabine
Capecitabine Accord,capecitabine
NeoRecormon,epoetin beta
Capecitabine Medac,capecitabine
Xeloda,capecitabine
Eptifibatide Accord,eptifibatide
Alprolix,eftrenonacog alfa
Pirsue,pirlimycin
Extavia,interferon beta-1b
Alofisel,darvadstrocel
Xenleta,lefamulin acetate
Twynsta,telmisartan;amlodipine
Alunbrig,brigatinib
Elocta,efmoroctocog alfa
Dazluma,troriluzole hydrochloride monohydrate
Regkirona,regdanvimab
Vevizye,ciclosporin
Kinzalmono (previously Telmisartan Boehringer Ingelheim Pharma KG),telmisartan
Pritor,telmisartan
Evra,norelgestromin;Ethinyl estradiol
Elaprase,idursulfase
Tamiflu,oseltamivir
Inovelon,rufinamide
Valdoxan,agomelatine
Omeprazole TriviumVet,omeprazole
Elmaro,Maropitant citrate monohydrate
Vectormune HVT-AIV,"turkey herpesvirus, strain rHVT/AI-H5 (cell-associated), expressing haemagglutinin gene of Avian influenza subtype H5, Live"
Mircera,Methoxy polyethylene glycol-epoetin beta
Prometax,rivastigmine
Skojoy,aflibercept
Cinqaero,reslizumab
Edurant,rilpivirine hydrochloride
Sialanar,glycopyrronium bromide
Moventig,naloxegol oxalate
Relvar Ellipta,fluticasone furoate;vilanterol
Competact,pioglitazone;metformin hydrochloride
Quinsair,levofloxacin
Rasagiline ratiopharm,rasagiline
Kentera (previously Oxybutynin Nicobrand),oxybutynin
Azilect,rasagiline
Ajovy,fremanezumab
MabThera,rituximab
Camcevi,leuprorelin mesilate
Litak,cladribine
Yondelis,trabectedin
Evista,raloxifene hydrochloride
Giotrif,afatinib
Ontilyv,opicapone
Nexavar,sorafenib
Rolufta Ellipta (previously Rolufta),umeclidinium bromide
Respreeza,human alpha1-proteinase inhibitor
VeraSeal,"human fibrinogen, human thrombin"
Febuxostat Krka,febuxostat
Samsca,tolvaptan
Emadine,emedastine difumarate
EndolucinBeta,lutetium (177Lu) chloride
Onpattro,patisiran sodium
Buvidal,buprenorphine
Mycapssa,octreotide acetate
Sivextro,tedizolid
Scintimun,besilesomab
Tenofovir disoproxil Zentiva,tenofovir disoproxil phosphate
Emtricitabine/Tenofovir disoproxil Zentiva,emtricitabine;tenofovir disoproxil phosphate
Efavirenz/Emtricitabine/Tenofovir disoproxil Zentiva,efavirenz;emtricitabine;tenofovir disoproxil phosphate
Riarify (previously CHF 5993 Chiesi Farmaceutici S.p.A.),formoterol fumarate dihydrate;glycopyrronium;beclometasone dipropionate
Leucofeligen FeLV/RCP,purified p45 feline leukaemia virus envelope antigen;live feline calicivirus (strain F9);live feline viral rhinotracheitis virus (strain F2);live feline panleucopenia virus
Cimalgex,cimicoxib
Cytopoint,lokivetmab
Skilarence,dimethyl fumarate
Revinty Ellipta,fluticasone furoate;vilanterol trifenatate
Prevexxion RN,"Live recombinant Marek’s disease (MD) virus, serotype 1, strain RN1250"
Mhyosphere PCV ID,"Mycoplasma hyopneumoniae, strain 7304 (Nexhyon), expressing the capsid protein of porcine circovirus type 2a, inactivated"
Porcilis PCV,porcine circovirus type 2 ORF2 subunit antigen
Silodyx,silodosin
Gencebok,Caffeine citrate
Paxneury,guanfacine hydrochloride
Andembry,garadacimab
Emcitate,tiratricol
Inaqovi,cedazuridine;decitabine
Sutent,sunitinib
Silodosin Recordati,silodosin
BeneFIX,nonacog alfa
Nobilis Multriva REOm,inactivated avian reovirus strain ARV-1;inactivated avian reovirus strain ARV-4
Equilis Prequenza,"equine influenza-virus strains: A/equine-2/South Africa/4/03, A/equine-2/Newmarket/2/93"
Equilis Te,tetanus toxoid
Equilis Prequenza Te,"equine influenza-virus strains: A/equine-2/South Africa/4/03, A/equine-2/Newmarket/2/93, tetanus toxoid"
Dynastat,parecoxib sodium
Quofenix,delafloxacin meglumine
Bluevac-3,"inactivated bluetongue virus, serotype 3"
Tarceva,erlotinib
ReFacto AF,moroctocog alfa
Toviaz,fesoterodine fumarate
Ryzodeg,insulin aspart;insulin degludec
Mirvaso,brimonidine tartrate
Nepexto,etanercept
Spherox,spheroids of human autologous matrix-associated chondrocytes
Litfulo,ritlecitinib tosilate
Modigraf,tacrolimus
Torisel,temsirolimus
Envarsus,tacrolimus
Advagraf,tacrolimus
Fasenra,Benralizumab
Somavert,pegvisomant
GeGant,gallium (68Ga) chloride;germanium (68Ge) chloride
Aripiprazole Accord,aripiprazole
Brimica Genuair,formoterol fumarate dihydrate;aclidinium bromide
Bretaris Genuair,aclidinium bromide
Poulvac Procerta HVT-IBD-ND,"Live recombinant turkey herpes virus, strain HVT-IBD-ND, expressing the VP2 protein of IBDV and the F protein of NDV"
Icthiovac ERM,inactivated vaccine against yersiniosis
Zoely,nomegestrol acetate;estradiol
Apretude,cabotegravir
Thyrogen,thyrotropin alfa
Galvus,vildagliptin
Blenrep,belantamab mafodotin
GoResp Digihaler (previously Budesonide/Formoterol Teva Pharma B.V.),Budesonide;formoterol fumarate dihydrate
Opfolda,miglustat
Bortezomib Fresenius Kabi,bortezomib
Docetaxel Accord,docetaxel
Dimethyl fumarate Neuraxpharm,dimethyl fumarate
Nimenrix,Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid
Skytrofa (previously Lonapegsomatropin Ascendis Pharma),Lonapegsomatropin
Pemetrexed Fresenius Kabi,pemetrexed
Repaglinide Teva,repaglinide
Tolfenamic acid VMD,tolfenamic acid
Vumerity,Diroximel fumarate (BIIB098)
Penbraya,Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group B fHBP protein subfamily A;Neisseria meningitidis group B fHBP protein subfamily B
Emtricitabine/Tenofovir disoproxil Krka d.d.,emtricitabine;tenofovir disoproxil succinate
Enyglid,repaglinide
Repaglinide Krka,repaglinide
Izelvay,avacincaptad pegol
Fortacin,lidocaine;prilocaine
Emtricitabine/Tenofovir disoproxil Krka,emtricitabine;tenofovir disoproxil succinate
Tavneos,avacopan
Carprofen Orion,carprofen
Nugalviq,govorestat
Neocolipor,"E. coli adhesin F4 (F4ab, F4ac, F4ad);E. coli adhesin F5;E. coli adhesin F6;E. coli adhesin F41"
Celldemic,"Influenza virus A/turkey/Turkey/1/2005 (H5N1) NIBRG-23 strain, HA surface antigen"
Edarbi,azilsartan medoxomil
Augtyro,repotrectinib
Telmisartan Actavis,telmisartan
Darunavir Krka,darunavir
Sitagliptin Accord,sitagliptin hydrochloride
Lojuxta,Lomitapide
Izba,travoprost
Renagel,sevelamer
Levodopa/Carbidopa/Entacapone Orion,levodopa;carbidopa;entacapone
Skycovion,GBP510
Masitinib AB Science,Masitinib mesilate
Inlyta,axitinib
Thalidomide BMS (previously Thalidomide Celgene),thalidomide
Efavirenz/Emtricitabine/Tenofovir disoproxil Krka,efavirenz;emtricitabine;tenofovir disoproxil succinate
Dabigatran etexilate Teva (previously Dabigatran etexilate Leon Farma),dabigatran etexilate mesilate
Posaconazole AHCL,posaconazole
Potactasol,topotecan
Levitra,vardenafil
Ocaliva,obeticholic acid
Gavreto,pralsetinib
Kinzalkomb,telmisartan;hydrochlorothiazide
PritorPlus,telmisartan;hydrochlorothiazide
Pravafenix,fenofibrate;pravastatin
Pheburane,sodium phenylbutyrate
Pepaxti,Melphalan flufenamide hydrochloride
Previcox,firocoxib
PreHevbri,hepatitis B surface antigen
Dany's BienenWohl,oxalic acid dihydrate
Oxybee,oxalic acid dihydrate
Epixram,
GONAL-f,follitropin alfa
Renvela,sevelamer carbonate
Vaxxon ND Clone,"Newcastle disease virus, strain Clone, live attenuated"
Duotic,betamethasone acetate;terbinafine
Tecfidera,dimethyl fumarate
Apremilast Viatris,apremilast
Stalevo,levodopa;carbidopa;entacapone
Nobivac L4,Leptospira interrogans serogroup Canicola serovar Portland-vere (strain Ca-12-000);L. interrogans serogroup Icterohaemorrhagiae serovar Copenhageni (strain Ic-02-001);L. interrogans serogroup Australis serovar Bratislava (strain As-05-073);L. kirschneri serogroup Grippotyphosa serovar Dadas (strain Gr-01-005)
Versican Plus DHPPi,"canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B and canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated)"
Versican Plus DHPPi/L4,"canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091..."
Idelvion,albutrepenonacog alfa
Purevax RCP FeLV,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated feline panleucopenia virus (PLI IV);FeLV recombinant canarypox virus (vCP97)
Purevax RCP,attenuated feline panleucopenia virus (PLI IV)
Purevax FeLV,feline leukaemia virus recombinant canarypox virus (vCP97)
Zyprexa Velotab,olanzapine
Sevelamer carbonate Winthrop (previously Sevelamer carbonate Zentiva),sevelamer carbonate
Voncento,human coagulation factor VIII;human von willebrand factor
Firdapse (previously Zenas),amifampridine
Signifor,pasireotide
Wilzin,zinc
Vizimpro,dacomitinib monohydrate
Durysta,bimatoprost
Naglazyme,galsulfase
Vedrop,tocofersolan
Bamlanivimab and etesevimab for COVID-19,bamlanivimab;Etesevimab
Ledaga,chlormethine
Cystadane,Betaine anhydrous
Isturisa,osilodrostat phosphate
Cystagon,mercaptamine bitartrate
Alli (previously Orlistat GSK),orlistat
Esperoct,turoctocog alfa pegol
Bevespi Aerosphere,glycopyrronium;formoterol fumarate dihydrate
Lumykras,sotorasib
Tavlesse,Fostamatinib disodium
Prevexxion RN+HVT+IBD,"Live recombinant Marek’s disease virus, serotype 1, strain RN1250; Live recombinant turkey herpesvirus, expressing the VP2 protein of infectious bursal disease virus, strain vHVT013-69"
Metacam,meloxicam
Sancuso,granisetron
Frontpro (previously Afoxolaner Merial),afoxolaner
Lutetium (177Lu) chloride Billev (previously Illuzyce),lutetium (177Lu) chloride
Onivyde pegylated liposomal (previously Onivyde),irinotecan anhydrous free-base
Akantior,Polihexanide
Duloxetine Zentiva,duloxetine
Xultophy,insulin degludec;liraglutide
Fruzaqla,fruquintinib
Rixubis,nonacog gamma
Vaniqa,eflornithine
Cervarix,human papillomavirus1 type 16 L1 protein;human papillomavirus type 18 L1 protein
Senshio,ospemifene
Kauliv,teriparatide
Pombiliti,Cipaglucosidase alfa
Bydureon,exenatide
Fevaxyn Pentofel,inactivated feline rhinotracheitis virus;inactivated feline calicivirus;inactivated feline Chlamydophila felis;inactivated feline leukaemia virus;inactivated feline panleukopenia virus
Tenkasi (previously Orbactiv),oritavancin (diphosphate)
Nezglyal,leriglitazone hydrochloride
Ganfort,bimatoprost;timolol
Lumigan,bimatoprost
Celsunax,ioflupane (123i)
Buccolam,midazolam
Convenia,cefovecin (as sodium salt)
Cepedex,Dexmedetomidine hydrochloride
Cardalis,benazepril hydrochloride;spironolactone
Omidria,ketorolac;phenylephrine
Canigen L4,Inactivated Leptospira strains: L. interrogans serogroup Canicola serovar Portland-vere (strain Ca-12-000); L. interrogans serogroup Icterohaemorrhagiae serovar Copenhageni (strain Ic-02-001); L. interrogans serogroup Australis serovar Bratislava (strain As-05-073); L. kirschneri serogroup Grippotyphosa serovar Dadas (strain Gr-01-005)
Broadline,eprinomectin;fipronil;praziquantel;(S)-methoprene
Bovela,"modified live bovine viral diarrhoea virus type 1, non-cytopathic parent strain KE-9 and modified live bovine viral diarrhoea virus type 2, non-cytopathic parent strain NY-93"
Versican Plus Pi/L4,"Canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090 and L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated)"
Versican Plus Pi,"canine parainfluenza type-2 virus, strain CPiV-2 Bio 15 (live attenuated)"
Versican Plus L4,"Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated)"
Innovax-ND-IBD,"cell-associated live recombinant turkey herpesvirus (strain HVP360), expressing the fusion protein of ND virus and the VP2 protein of IBD virus"
Vaxxitek HVT+IBD,"recombinant turkey herpesvirus, strain vhvt013-69, live"
Poulvac E. coli,"Live aroA gene deleted Escherichia coli, type 078, strain EC34195"
Porcilis PCV M Hyo,"Porcine circovirus type 2 (PCV2) ORF2 subunit antigen, Mycoplasma hyopneumoniae J strain inactivated"
Byetta,exenatide
Pemetrexed Sandoz,pemetrexed disodium hemipentahydrate
Porcilis ColiClos,Clostridium perfringens type C / Escherichia coli F4ab / E. coli F4ac / E. coli F5 / E. coli F6 / E. coli LT
ArthriCox,firocoxib
Cirbloc M Hyo,"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein"
Nobivac DP Plus,Live attenuated canine distemper virus strain Onderstepoort: 105.1 – 106.5 TCID50;Live recombinant canine parvovirus strain 630a: 105.1 – 106.7 TCID50
Hiprabovis IBR Marker Live,"live gE- tk- double-gene-deleted bovine herpes virus type 1, strain CEDDEL: 106.3–107.3 CCID50"
Vidaza,azacitidine
Gliolan,5-aminolevulinic acid hydrochloride
Translarna,ataluren
Suvaxyn Aujeszky 783 + O/W,live attenuated Aujeszky's disease virus
Oxervate,recombinant human nerve growth factor
Suliqua,insulin glargine;lixisenatide
Tracleer,bosentan (as monohydrate)
BTVPUR,bluetongue-virus serotype-1 antigen;bluetongue virus serotype 8 antigen
Nobilis Influenza H5N2,inactivated whole avian influenza virus antigen of H5N2 subtype (strain A/duck/Potsdam/1402/86)
Onbevzi,bevacizumab
Jylamvo,methotrexate
ProteqFlu,Vcp 2242 virus / Vcp1529 virus / Vcp1533 virus / vCP3011 virus
Solensia,frunevetmab
Stayveer,bosentan (as monohydrate)
ProteqFlu-Te,Clostridium tetani toxoid / Vcp 2242 virus / Vcp1529 virus / Vcp1533 virus / vCP3011 virus
Innovax-ILT,"cell-associated live recombinant turkey herpesvirus (strain HVT/ILT-138), expressing the glycoproteins gD and gI of infectious laryngotracheitis virus"
Memantine LEK,memantine hydrochloride
Zydelig,Idelalisib
Purevax RC,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains)
Zytiga,abiraterone acetate
Velcade,bortezomib
Ciambra,pemetrexed disodium hemipentahydrate
Aldurazyme,laronidase
Gefitinib Mylan,gefitinib
Purevax Rabies,vCP65 virus
Suvaxyn PRRS MLV,modified live porcine respiratory and reproductive syndrome virus
Nobilis IB 4-91,live attenuated avian infectious bronchitis virus variant strain 4-91
Vyepti,Eptinezumab
Reyataz,atazanavir (as sulfate)
Mevlyq,Eribulin mesylate
Versican Plus Pi/L4R,"canine parainfluenza virus, leptospira and rabies virus."
Equip WNV (previously Duvaxyn WNV),"inactivated West Nile virus, strain VM-2"
Versican Plus DHPPi/L4R,"canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091..."
Aivlosin,tylvalosin
Porcilis PCV ID,porcine circovirus type 2 ORF2 subunit antigen
Arti-Cell Forte,chondrogenic induced equine allogeneic peripheral blood-derived mesenchymal stem cells
Halaven,Eribulin
Purevax RCPCh FeLV,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated feline panleucopenia virus (PLI IV);FeLV recombinant canarypox virus (vCP97);attenuated Chlamydophila felis (905 strain)
Purevax RCPCh,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated Chlamydophila felis (905 strain);attenuated feline panleucopenia virus (PLI IV)
Innovax-ND-ILT,cell-associated live recombinant turkey herpesvirus (strain HVT/NDV/ILT) expressing the fusion protein of newcastle disease virus and the glycoproteins gD and gI of infectious laryngotracheitis virus
Divence IBR Marker Live,"infectious bovine rhinotracheitis virus, strain CEDDEL, gE- tk- double-gene deleted, live"
Oxbryta,voxelotor
Zeleris,florfenicol;meloxicam
Viekirax,ombitasvir;paritaprevir;ritonavir
Exviera,dasabuvir sodium
Dificlir,fidaxomicin
Kinharto,omecamtiv mecarbil dihydrochloride hydrate
Giapreza,angiotensin II acetate
Ucedane,carglumic acid
Entacapone Orion,entacapone
Repaglinide Accord,repaglinide
Porcilis PCV M Hyo ID,"porcine circovirus type 2, ORF2 capsid protein;Mycoplasma hyopneumoniae, strain J, inactivated"
Cevac Salmune ETI K,"Salmonella enterica, subsp. enterica, serovar Enteritidis, strain 038-90, inactivated; Salmonella enterica, subsp. enterica, serovar Typhimurium, strain 076-94, inactivated; and Salmonella enterica, subsp. enterica, serovar Infantis, strain SM-595, inactivated"
Cepeloron,spironolactone
Comtess,entacapone
Peyona (previously Nymusa),Caffeine citrate
Pomalidomide Accord,Pomalidomide
Vemlidy,tenofovir alafenamide fumarate
Dexdomitor,Dexmedetomidine hydrochloride
Bonviva,ibandronic acid
Bondronat,ibandronic acid
Dzuveo,sufentanil citrate
Resolor,prucalopride succinate
Xarelto,rivaroxaban
Nobilis Multriva RT+IBm+ND+EDS,avian infectious bronchitis;Newcastle disease;egg drop syndrome virus vaccine (inactivated);sorbitan oleate;turkey rhinotracheitis virus (inactivated)
Nobilis Multriva RT+IBm+ND+Gm+REOm,avian infectious bronchitis;avian reovirus;avian infectious bursal disease;Newcastle disease;turkey rhinotracheitis virus (inactivated)
Nyxthracis (previously Obiltoxaximab SFL),nyxthracis
Savene,dexrazoxane hydrochloride
Ivabradine Accord,ivabradine hydrochloride
Fabrazyme,agalsidase beta
Carmustine medac (previously Carmustine Obvius),carmustine
Pramipexole Teva,pramipexole dihydrochloride monohydrate
Tevagrastim,filgrastim
Ratiograstim,filgrastim
Iasibon,ibandronic acid
Zaltrap,aflibercept
Ibandronic Acid Teva,ibandronic acid
Pioglitazone Accord,pioglitazone hydrochloride
